Country,Life_Exp,Mean_Years_School,Surface,Births_by_Professionals,Water_Productivity,Inflation,Mortality_Rate,GDP_Growth,Ease_Business,Out_Of_School_Primary,Master_DG_Over_25,Migrants,Forested,GDP_Per_Capita,Start_UP_Procedures,Broad_Band
Micronesia (Federated States of),70.71,7.804956,700,73.7,20.18054562,-0.298115837,28.9,0.441699036,48.10341,3.86211517,0.843659997,-2.579673993,91.81428571,0.020290415,0.277777778,0.069551307
Guatemala,69.2368,5.681300163,108890,100,16.59439096,2.388720328,28.3,3.529271823,62.59562,10.05864716,0.045699999,-0.292996752,32.9304803,0.054699608,0.388888889,0.045546979
Kiribati,67.4172,7.984461822,810,65.5,20.18054562,0.572015744,57.6,2.0813372,46.93884,4.676193584,0.045699999,-3.396546611,1.456790123,0.022798404,0.277777778,0.002065038
Honduras,70.1229,7.088479996,112490,98.3,11.86807496,3.15783118,19.2,4.158721345,56.26791,17.14099884,0.045699999,-0.29812201,57.46137434,0.031254167,0.5,0.053431836
Sao Tome and Principe,67.5912,6.215599435,960,72,7.780673365,5.250170864,23.1,5.167591729,44.9711,6.986268586,0.045699999,-3.760677638,57.29166667,0.022516161,0.222222222,0.015282664
Namibia,59.269,7.192013277,824290,92.5,34.4182676,3.394015384,47.6,4.753380235,61.35078,7.772317725,0.045699999,-1.431351996,8.484817237,0.054085083,0.444444444,0.037290126
Lao People's Democratic Republic,68.0608,5.374,236800,88.2,1.736016346,1.277354271,53.8,7.252747742,50.82456,8.416090177,0.045699999,-1.521988769,70.81081081,0.047692624,0.444444444,0.02345753
Timor-Leste,67.7369,5.43679,14870,40.1,1.229002312,0.646148614,50.2,4.600697958,39.36487,9.175086011,0.045699999,-2.085759464,62.41425689,0.025524545,0.166666667,7.58E-05
Vanuatu,70.449,7.064846,12190,29.9,20.18054562,2.483268757,28.2,2.516377397,61.05191,9.027825821,0.045699999,0.567632543,36.28383921,0.016109915,0.333333333,0.012089838
Nepal,68.4495,5.121792742,147180,89.4,2.247855211,7.868908956,35.5,4.191362789,63.1866,9.75309786,0.045699999,-6.875297389,40.50842506,0.021530278,0.277777778,0.058116638
Eswatini (Kingdom of),57.0657,5.596,17360,55.6,3.550500949,4.951244937,57.2,3.247608609,59.49273,8.52178103,0.045699999,-3.562359633,28.31221198,0.047548969,0.555555556,0.013791154
Equatorial Guinea,60.5943,5.910863,28050,88.3,761.1115012,1.676630853,93.2,12.8108194,41.05286,8.777699771,0.045699999,6.207294203,88.77789661,0.077634053,0.888888889,0.000950355
